jugador,cfn_id,personaje,pais,mr
Popibluebeast,4250725960,Chun-Li,Argentina,1716
JUNINHO-RAS,2622990354,Guile,Brasil,1716
Im_OptimusPrime,1458493388,Marisa,Brasil,1716
iPeru,3823510405,Rashid,Perú,1716
bronze player,1974218028,Ryu,Brasil,1716
@silverio424,2405361932,Cammy,Brasil,1715
Katy Parry,1793933918,Manon,Brasil,1715
Jho-goforbroke,3201375376,Chun-Li,Brasil,1715
HNK-Fangona,1033368436,A.K.I.,Brasil,1715
feliperenan,1149463106,Ken,Brasil,1715
Zeusb,1040732746,Kimberly,Brasil,1714
thiaguinhor9,3702865818,Cammy,Brasil,1713
MarceloRJ1,2070100440,E. Honda,Brasil,1713
vicg94,2684342593,Luke,Brasil,1713
XxETxXBR,2209110750,Lily,Brasil,1713
nightcrawler,1437763374,Dee Jay,Brasil,1713
HickzX,3944248778,Kimberly,Brasil,1712
Deiver,3190543909,Luke,Chile,1712
Mauvri,2823739328,Rashid,Chile,1712
LeunamV,2610200659,Kimberly,Venezuela,1711
Berilo,2177989784,E. Honda,Brasil,1711
HumaN,3936749550,Luke,Chile,1711
Niel_,2072437349,Luke,Brasil,1711
L4G0S,3332090675,Lily,Venezuela,1711
Chango X,3474375529,Luke,Chile,1710
Alekof,3538872394,JP,Brasil,1709
Detoneichon,3835020746,Guile,Chile,1709
BrenoTSU,3042087521,Juri,Brasil,1709
dwwshz,1420548270,JP,Perú,1708
RafaelSF,3210060462,Zangief,Brasil,1708
REZ.,1112569268,Chun-Li,Brasil,1708
Eduardo0711,1529452465,Rashid,Brasil,1708
Olhos De Gato,3013825616,Cammy,Brasil,1707
fé nas maluca,1195570945,Manon,Brasil,1706
Dookie-PC,3277074647,Jamie,Argentina,1706
Celfcool,3211019278,Guile,Venezuela,1706
RatoMasina,2888083744,Dee Jay,Argentina,1706
Rick,2074761207,Cammy,Brasil,1705
HickzX,3944248778,Kimberly,Brasil,1705
freim,1017055268,Luke,Chile,1705
KCD117,2275323842,Marisa,Brasil,1705
@XiBassiX,3788464637,Kimberly,Ecuador,1704
PLSX,3218927337,Jamie,Brasil,1704
Vegasz,3412190209,Luke,Brasil,1704
Shao,2897817793,Juri,Brasil,1704
Belisha-sama,1000547453,Lily,Chile,1704
Rexforever,2359895784,Lily,Brasil,1704
Popibluebeast,4250725960,Ken,Argentina,1704
felpsnn,2195476255,Cammy,Brasil,1703
[TIER]AlmaNegra,1209083998,JP,Brasil,1703
Sait,1824036126,Juri,Chile,1703
Kuzco'sPoison,3670263733,Blanka,Brasil,1703
Welington_FGC,4200588622,Ken,Brasil,1703
Asaelito,1658052440,Zangief,Argentina,1702
Supr3mus 2D,3853660792,Chun-Li,Brasil,1702
5 e 6 eh RANDOM,2306988208,Kimberly,Brasil,1702
Breno_Spies,4208016037,Luke,Brasil,1702
Jeffin,1757845762,Manon,Brasil,1701
GustavoPage,2108969751,Juri,Brasil,1701
Pedream,2616132292,Ryu,Brasil,1701
tundi,3670273569,Manon,Brasil,1700
Lord-Pikoro,3962566081,Guile,Perú,1700
Shinigami,2555796603,E. Honda,Brasil,1699
Deiver,3190543909,Ken,Chile,1699
LF|GHOST-KILLER,1211421571,Juri,Brasil,1698
younghou,1027356162,Blanka,Chile,1698
Tata_Colores,1545773043,JP,Chile,1696
PHD_Shoro_Tyler,3857335527,Dhalsim,Chile,1695
