rank,player,clase
578,JDorc#1119,barbarian
579,Kaneda#1784,barbarian
580,異世浮生#3905,barbarian
581,Nooby#11483,barbarian
582,8637475,m
583,Erlaya#6728,barbarian
584,Hightones#1859,barbarian
585,Myth#1924,barbarian
586,prohibited87#1533,barbarian
587,Kylorx#1613,barbarian
588,Bloodybig#3938,barbarian
589,14170474,m
590,Necrocks#1425,barbarian
591,Saber#1697,barbarian
592,愛玩嘉#3484,barbarian
593,Taifighter#1633,barbarian
594,B13N#1147,barbarian
595,TheBody#1761,barbarian
596,MasterNinja#1182,barbarian
597,Shibbo#1681,barbarian
598,Roddy#1871,barbarian
599,Satik#1268,barbarian
600,Miniwitts#1888,barbarian
601,Vel#11947,barbarian
602,Madmarc2#1445,barbarian
603,Targetawg#1538,barbarian
604,ZMFranco#1493,barbarian
605,TheStickyBun#1697,barbarian
606,Blondre3000#11760,barbarian
607,Derobosmi#1523,barbarian
608,UdeadtomE#1883,barbarian
609,HoradricNoob#11593,barbarian
610,Archer#1792,barbarian
611,Dungbuddy#1900,barbarian
612,SilentSword#11131,barbarian
613,Vishous#11923,barbarian
614,Catzilla#1357,barbarian
615,Boul#1979,barbarian
616,Pitoune#1618,barbarian
617,jabb5#1399,barbarian
618,SixFive#11431,barbarian
619,Avellorn#1118,barbarian
620,HeroMarauder#1908,barbarian
621,Vikoden#1498,barbarian
622,Euclides#11571,barbarian
623,LotheReaper#1902,barbarian
624,newbasaur#1235,barbarian
625,KiddLylo#1366,barbarian
626,SaintCoultz#1215,barbarian
627,Ddiesel#1521,barbarian
628,G8RJim#1443,barbarian
629,Loki#1893,barbarian
630,phinfan#1499,barbarian
631,LLDAKILLA#1324,barbarian
632,Eryel#1238,barbarian
633,Dish#1153,barbarian
634,ShouJinWuQi#1690,barbarian
635,CCor#1915,barbarian
636,Vega#11389,barbarian
637,TGGurash#1599,barbarian
638,Moogul#1847,barbarian
639,Raurisfly#1449,barbarian
640,madam#1864,barbarian
641,Ltd#1646,barbarian
642,Chipsfd#1755,barbarian
643,hellhound#1958,barbarian
644,lom4R#2484,barbarian
645,Nixarax#1812,barbarian
646,Ratchet#1221,barbarian
647,UNCHOKIE#1907,barbarian
648,Shoop#1655,barbarian
649,MrWeinschenk#1978,barbarian
650,OGezDonPepe#1813,barbarian
651,Gruntleberry#1689,barbarian
652,Badjer#1739,barbarian
653,TeamKasuyaX#1826,barbarian
654,yohyzo#1879,barbarian
655,SprucesWild#1910,barbarian
656,Pitstop#1863,barbarian
657,blaze#1955,barbarian
658,JeeJee#1819,barbarian
659,Monazo#1641,barbarian
660,Lochlain#1133,barbarian
661,feelinggood#1213,barbarian
662,Paranoiid#1758,barbarian
663,Revold#1868,barbarian
664,XIUIX#1132,barbarian
665,gjvella#1491,barbarian
666,PhunThyme#1890,barbarian
667,Abysmal#1849,barbarian
668,kabamountra#2160,barbarian
669,14196020,m
670,Immortal#1859,barbarian
671,ßølltuçcîer#1684,barbarian
672,talianiara#1445,barbarian
673,Vaxis#1642,barbarian
674,Violencia#2179,barbarian
675,Gallas#1504,barbarian
676,Achilles#1969,barbarian
677,SumBaldUncle#1318,barbarian
678,Bullkaizer45#1599,barbarian
679,Mirk#1798,barbarian
680,YungLeanDoer#11709,barbarian
681,LuckyDevil#1925,barbarian
682,Egestad#1641,barbarian
683,Jolt#1964,barbarian
684,FaceBreaker#11822,barbarian
685,Chenster#1892,barbarian
686,warrax#1507,barbarian
687,Llys#1188,barbarian
688,Flipmod#1900,barbarian
689,Aericks#1698,barbarian
690,xxreefrluvxx#1849,barbarian
691,Shizno#1914,barbarian
692,spartanstix#1954,barbarian
693,Brooks#1106,barbarian
694,Adelphion#1811,barbarian
695,Mudda#1637,barbarian
696,LordMushu#1757,barbarian
697,Tyler#1662,barbarian
698,Herskip#1280,barbarian
699,Tallatsu#1661,barbarian
700,InsaneBobb#1622,barbarian
701,Silenus#1986,barbarian
702,Gannicus#11399,barbarian
703,HotSauce#1289,barbarian
704,Gawen#1298,barbarian
705,LordNoctis#1523,barbarian
706,封承雲海#3859,barbarian
707,Supladies#1173,barbarian
708,Inclemant#1517,barbarian
709,Vox#11149,barbarian
710,Sickness#1287,barbarian
711,9341827,m
712,TuShallPac#1285,barbarian
713,Pagani#4275,barbarian
714,MikeBizzo#1824,barbarian
715,Toup800#1671,barbarian
716,Dieblo#1522,barbarian
717,Gluten#11986,barbarian
718,Marben#1715,barbarian
719,Light#13886,barbarian
720,nvsven#1442,barbarian
721,Mack3y#1152,barbarian
722,ThaBadTouch#1768,barbarian
723,NickFury#1705,barbarian
724,Shotzoh#1319,barbarian
725,ChAoTiC#11239,barbarian
726,Galgo#1500,barbarian
727,Aice#1447,barbarian
728,Faos#1442,barbarian
729,Hankob#1284,barbarian
730,Reality#11943,barbarian
731,109822003,m
732,Gaves#1217,barbarian
733,holy#1243,barbarian
734,Draxo#1501,barbarian
735,Agathos#1406,barbarian
736,Brianzero#1252,barbarian
737,WallyWonka#6877,barbarian
738,jojog#1212,barbarian
739,DCinMO#1172,barbarian
740,Ricosueve#1101,barbarian
741,Greybok#1681,barbarian
742,Vigil#1465,barbarian
743,LunaticForce#1442,barbarian
744,P3nnyWise#1608,barbarian
745,FuzziestBear#1705,barbarian
746,Ouroboros#1853,barbarian
747,BOOTYmcBOOTY#1271,barbarian
748,Namegabrag#1842,barbarian
749,Caleb#1978,barbarian
750,Selfy#11706,barbarian
751,Rikktor#11822,barbarian
752,Pure780#6626,barbarian
753,D3ph1in#1905,barbarian
754,KillShot#1213,barbarian
755,Feelsgoodman#11570,barbarian
756,Jazual#1609,barbarian
757,Kegyar#1128,barbarian
758,Ziglez#6959,barbarian
759,WAGAROH#1871,barbarian
760,Igorteca#1409,barbarian
761,Superbones#11525,barbarian
762,Gossu#1529,barbarian
763,SkiitZ#1230,barbarian
764,SitKill#1658,barbarian
765,V8766#1980,barbarian
766,DoomBlade#11906,barbarian
767,Haifuku#1476,barbarian
768,Zeap#1812,barbarian
769,d3phext#1636,barbarian
770,Steve#16771,barbarian
771,JohnFLee#1553,barbarian
772,Matit#2245,barbarian
773,José#12545,barbarian
774,Yumm#1524,barbarian
775,Stewcat#1493,barbarian
776,famez#1448,barbarian
777,Crius#11745,barbarian
778,Jman#1491,barbarian
779,Use#1663,barbarian
780,HavoHejDlihc#1554,barbarian
781,Rabbitse#1943,barbarian
782,Wartsnuff#1974,barbarian
783,cafetao#11273,barbarian
784,LoneWolf#1449,barbarian
785,KazricSeyth#11814,barbarian
786,Kraulenth#1289,barbarian
787,Scirocco#1325,barbarian
788,Grethorn2002#6102,barbarian
789,Vudoo1202#11863,barbarian
790,Rocket611#1267,barbarian
